Frequency(Hz),Impedance
1.55E+06,2.343663866
1.55E+06,2.342375289
1.55E+06,2.341124751
1.55E+06,2.339801293
1.56E+06,2.338523189
1.56E+06,2.33721702
1.56E+06,2.335944364
1.56E+06,2.334639979
1.57E+06,2.333371018
1.57E+06,2.332091855
1.57E+06,2.330753946
1.57E+06,2.329462542
1.58E+06,2.328194882
1.58E+06,2.326869453
1.58E+06,2.325581185
1.58E+06,2.32423144
1.59E+06,2.322988272
1.59E+06,2.321675845
1.59E+06,2.320397203
1.59E+06,2.319049868
1.60E+06,2.31777183
1.60E+06,2.316488773
1.60E+06,2.315176988
1.60E+06,2.31385051
1.61E+06,2.312571658
1.61E+06,2.31125436
1.61E+06,2.309955186
1.61E+06,2.308621536
1.62E+06,2.30731959
1.62E+06,2.306011362
1.62E+06,2.304698764
1.62E+06,2.303422339
1.63E+06,2.302066233
1.63E+06,2.300755245
1.63E+06,2.299459758
1.63E+06,2.298114557
1.64E+06,2.296804085
1.64E+06,2.295504046
1.64E+06,2.294158346
1.64E+06,2.292828956
1.65E+06,2.291541518
1.65E+06,2.290204915
1.65E+06,2.288871752
1.65E+06,2.287544754
1.66E+06,2.286209924
1.66E+06,2.284907599
1.66E+06,2.283568299
1.66E+06,2.282232369
1.67E+06,2.280903061
1.67E+06,2.27957657
1.67E+06,2.278254885
1.67E+06,2.276905928
1.68E+06,2.275609748
1.68E+06,2.27424163
1.68E+06,2.272882458
1.68E+06,2.271561551
1.69E+06,2.270213846
1.69E+06,2.268892598
1.69E+06,2.267554072
1.69E+06,2.266182699
1.70E+06,2.264846343
1.70E+06,2.26350883
1.70E+06,2.262155531
1.70E+06,2.260787851
1.71E+06,2.259441887
1.71E+06,2.258090295
1.71E+06,2.256770473
1.71E+06,2.255377562
1.72E+06,2.254047121
1.72E+06,2.252677343
1.72E+06,2.251338208
1.72E+06,2.249949469
1.73E+06,2.248574024
1.73E+06,2.247228119
1.73E+06,2.245864065
1.73E+06,2.244484226
1.74E+06,2.243149705
1.74E+06,2.241758376
1.74E+06,2.240375863
1.74E+06,2.239018634
1.75E+06,2.237653282
1.75E+06,2.236278441
1.75E+06,2.234866622
1.75E+06,2.233490312
1.76E+06,2.23214222
1.76E+06,2.230746156
1.76E+06,2.229373094
1.76E+06,2.227980161
1.77E+06,2.226590134
1.77E+06,2.225203859
1.77E+06,2.223809476
1.77E+06,2.222416148
1.78E+06,2.221049938
1.78E+06,2.219637065
1.78E+06,2.218230338
1.78E+06,2.216821376
1.79E+06,2.215431583
1.79E+06,2.214053545
1.79E+06,2.212597471
1.79E+06,2.211204958
1.80E+06,2.209801739
1.80E+06,2.208363744
1.80E+06,2.207009297
1.80E+06,2.205554531
1.81E+06,2.204159013
1.81E+06,2.202742562
1.81E+06,2.201317797
1.81E+06,2.199903831
1.82E+06,2.198486979
1.82E+06,2.197026801
1.82E+06,2.19564082
1.82E+06,2.194204957
1.83E+06,2.192755323
1.83E+06,2.191322062
1.83E+06,2.189896776
1.83E+06,2.18845769
1.84E+06,2.187013032
1.84E+06,2.185556864
1.84E+06,2.184155901
1.84E+06,2.182675123
1.85E+06,2.181242197
1.85E+06,2.179806499
1.85E+06,2.178330203
1.85E+06,2.176881741
1.86E+06,2.175439011
1.86E+06,2.173959636
1.86E+06,2.172519932
1.86E+06,2.171032972
1.87E+06,2.169566526
1.87E+06,2.168110392
1.87E+06,2.166638258
1.87E+06,2.16517325
1.88E+06,2.163692922
1.88E+06,2.162206558
1.88E+06,2.160768422
1.88E+06,2.159242437
1.89E+06,2.157772471
1.89E+06,2.156297943
1.89E+06,2.154812925
1.89E+06,2.153308658
1.90E+06,2.151809369
1.90E+06,2.150305974
1.90E+06,2.148840368
1.90E+06,2.147306456
1.91E+06,2.145817386
1.91E+06,2.144320918
1.91E+06,2.142793361
1.91E+06,2.141286101
1.92E+06,2.13975663
1.92E+06,2.138240966
1.92E+06,2.136733328
1.92E+06,2.135169598
1.93E+06,2.13366805
1.93E+06,2.132159369
1.93E+06,2.130623954
1.93E+06,2.129092077
1.94E+06,2.127550556
1.94E+06,2.126022083
1.94E+06,2.124498479
1.94E+06,2.122916927
1.95E+06,2.121372281
1.95E+06,2.11983087
1.95E+06,2.118245047
1.95E+06,2.116706567
1.96E+06,2.115154155
1.96E+06,2.11359818
1.96E+06,2.112054985
1.96E+06,2.110454107
1.97E+06,2.108872276
1.97E+06,2.107309074
1.97E+06,2.105712037
1.97E+06,2.104146194
1.98E+06,2.102562795
1.98E+06,2.100959809
1.98E+06,2.099413077
1.98E+06,2.097774979
1.99E+06,2.096161118
1.99E+06,2.094551338
1.99E+06,2.092916489
1.99E+06,2.091335114
2.00E+06,2.089732648
2.00E+06,2.088117937
2.00E+06,2.086517241
2.00E+06,2.084878035
2.01E+06,2.083247135
2.01E+06,2.081635557
2.01E+06,2.07999596
2.01E+06,2.078381285
2.02E+06,2.076722631
2.02E+06,2.075091856
2.02E+06,2.073426918
2.02E+06,2.071775024
2.03E+06,2.070144767
2.03E+06,2.068488562
2.03E+06,2.066811682
2.03E+06,2.06514009
