Frequency(Hz),Impedance
1.37E+06,2.432266606
1.37E+06,2.430960265
1.38E+06,2.429712712
1.38E+06,2.42842193
1.38E+06,2.42715754
1.38E+06,2.425897898
1.39E+06,2.424631752
1.39E+06,2.423376363
1.39E+06,2.42209574
1.39E+06,2.420827872
1.40E+06,2.419548556
1.40E+06,2.418284236
1.40E+06,2.416999341
1.40E+06,2.415744738
1.41E+06,2.414462722
1.41E+06,2.413181855
1.41E+06,2.411936095
1.41E+06,2.410655431
1.42E+06,2.409359417
1.42E+06,2.408101523
1.42E+06,2.406837839
1.42E+06,2.405565913
1.43E+06,2.404306582
1.43E+06,2.403016483
1.43E+06,2.401760155
1.43E+06,2.400492384
1.44E+06,2.399215837
1.44E+06,2.397935848
1.44E+06,2.396667273
1.44E+06,2.395392496
1.45E+06,2.39410759
1.45E+06,2.392849422
1.45E+06,2.391584415
1.45E+06,2.39031082
1.46E+06,2.389028221
1.46E+06,2.387777653
1.46E+06,2.386485479
1.46E+06,2.385221804
1.47E+06,2.383920746
1.47E+06,2.382666825
1.47E+06,2.38137651
1.47E+06,2.380104849
1.48E+06,2.378841349
1.48E+06,2.377539083
1.48E+06,2.376294103
1.48E+06,2.374978464
1.49E+06,2.373702635
1.49E+06,2.372422956
1.49E+06,2.371170164
1.49E+06,2.369867057
1.50E+06,2.368592999
1.50E+06,2.367318022
1.50E+06,2.366057596
1.50E+06,2.364751878
1.51E+06,2.363469874
1.51E+06,2.362214942
1.51E+06,2.360924208
1.51E+06,2.359598958
1.52E+06,2.358343882
1.52E+06,2.357076111
1.52E+06,2.355778957
1.52E+06,2.354481719
1.53E+06,2.353183513
1.53E+06,2.351925387
1.53E+06,2.350597914
1.53E+06,2.349349834
1.54E+06,2.348041991
1.54E+06,2.34676962
1.54E+06,2.345479951
1.54E+06,2.344180746
1.55E+06,2.342875297
1.55E+06,2.341610641
1.55E+06,2.340302805
1.55E+06,2.339001357
1.56E+06,2.337710738
1.56E+06,2.33645626
1.56E+06,2.335111645
1.56E+06,2.333831113
1.57E+06,2.332504769
1.57E+06,2.331239181
1.57E+06,2.32994124
1.57E+06,2.328629558
1.58E+06,2.327338943
1.58E+06,2.326054553
1.58E+06,2.324740966
1.58E+06,2.323423328
1.59E+06,2.322124428
1.59E+06,2.320790708
1.59E+06,2.31951729
1.59E+06,2.318207869
1.60E+06,2.316914066
1.60E+06,2.315590151
1.60E+06,2.314313461
1.60E+06,2.312962317
1.61E+06,2.311682804
1.61E+06,2.31037154
1.61E+06,2.309050351
1.61E+06,2.307723983
1.62E+06,2.306434829
1.62E+06,2.305113674
1.62E+06,2.303789911
1.62E+06,2.302477944
1.63E+06,2.301168452
1.63E+06,2.299856306
1.63E+06,2.298534822
1.63E+06,2.297204105
1.64E+06,2.295877478
1.64E+06,2.29457691
1.64E+06,2.293204333
1.64E+06,2.291936276
1.65E+06,2.290589653
1.65E+06,2.289286852
1.65E+06,2.287940903
1.65E+06,2.286591
1.66E+06,2.285260285
1.66E+06,2.283926208
1.66E+06,2.282605416
1.66E+06,2.281262397
1.67E+06,2.279948673
1.67E+06,2.278589481
1.67E+06,2.27726726
1.67E+06,2.275914913
1.68E+06,2.274583075
1.68E+06,2.273251805
1.68E+06,2.271889115
1.68E+06,2.270543445
1.69E+06,2.269221118
1.69E+06,2.267870777
1.69E+06,2.266524124
1.69E+06,2.265196395
1.70E+06,2.263816842
1.70E+06,2.262483866
1.70E+06,2.261102428
1.70E+06,2.259771922
1.71E+06,2.258393717
1.71E+06,2.257046962
1.71E+06,2.255688928
1.71E+06,2.25433616
1.72E+06,2.252959213
1.72E+06,2.251615675
1.72E+06,2.250241428
1.72E+06,2.248872478
1.73E+06,2.247528449
1.73E+06,2.246140687
1.73E+06,2.244772894
1.73E+06,2.24339258
1.74E+06,2.242023033
1.74E+06,2.240656519
1.74E+06,2.239276258
1.74E+06,2.23788414
1.75E+06,2.236508472
1.75E+06,2.235143848
1.75E+06,2.233767297
1.75E+06,2.232378186
1.76E+06,2.230991674
1.76E+06,2.229624821
1.76E+06,2.228205957
1.76E+06,2.226824852
1.77E+06,2.225432136
1.77E+06,2.224046979
1.77E+06,2.222655893
1.77E+06,2.221257338
1.78E+06,2.219819212
1.78E+06,2.21843854
1.78E+06,2.21704762
1.78E+06,2.215625181
1.79E+06,2.214221078
1.79E+06,2.212829618
1.79E+06,2.21143714
1.79E+06,2.209995385
1.80E+06,2.20858537
1.80E+06,2.207163118
1.80E+06,2.20577073
1.80E+06,2.20434699
1.81E+06,2.202913114
1.81E+06,2.201479579
1.81E+06,2.200061389
1.81E+06,2.198631914
1.82E+06,2.197231397
1.82E+06,2.195786674
1.82E+06,2.194363981
1.82E+06,2.192915441
1.83E+06,2.191465549
1.83E+06,2.190020849
1.83E+06,2.188608006
1.83E+06,2.187156314
1.84E+06,2.185682861
1.84E+06,2.184254168
1.84E+06,2.182810937
1.84E+06,2.181357429
1.85E+06,2.179899458
1.85E+06,2.178462534
1.85E+06,2.176999509
1.85E+06,2.175529956
1.86E+06,2.174067864
1.86E+06,2.17259293
1.86E+06,2.171127672
1.86E+06,2.169657002
1.87E+06,2.168191635
1.87E+06,2.166727929
1.87E+06,2.165245297
1.87E+06,2.163766929
1.88E+06,2.162283903
1.88E+06,2.160810938
1.88E+06,2.159324519
1.88E+06,2.157840958
1.89E+06,2.156337508
1.89E+06,2.154842236
1.89E+06,2.153344063
1.89E+06,2.151848588
1.90E+06,2.150356062
1.90E+06,2.148844253
1.90E+06,2.147345411
1.90E+06,2.145839497
1.91E+06,2.144335758
1.91E+06,2.142815282
1.91E+06,2.141301186
1.91E+06,2.139769946
1.92E+06,2.138246684
1.92E+06,2.136708148
1.92E+06,2.135210127
1.92E+06,2.133669497
1.93E+06,2.132142091
1.93E+06,2.130595105
1.93E+06,2.129060569
1.93E+06,2.1275185
1.94E+06,2.12597808
1.94E+06,2.124436579
1.94E+06,2.12288637
1.94E+06,2.121312947
1.95E+06,2.119764029
1.95E+06,2.118230465
1.95E+06,2.116662371
1.95E+06,2.115075074
1.96E+06,2.113540259
1.96E+06,2.111961054
1.96E+06,2.110387055
1.96E+06,2.108811692
1.97E+06,2.107230676
1.97E+06,2.105625862
1.97E+06,2.104065406
1.97E+06,2.102478092
1.98E+06,2.100892394
1.98E+06,2.099272056
1.98E+06,2.09767756
1.98E+06,2.096072113
1.99E+06,2.094480495
1.99E+06,2.092875704
1.99E+06,2.091222305
1.99E+06,2.089629558
2.00E+06,2.08799815
2.00E+06,2.086387507
2.00E+06,2.084775585
2.00E+06,2.08312124
2.01E+06,2.081503221
2.01E+06,2.079855519
2.01E+06,2.078223009
2.01E+06,2.076590741
2.02E+06,2.074924462
2.02E+06,2.073279434
2.02E+06,2.071643967
2.02E+06,2.069975637
2.03E+06,2.068312542
2.03E+06,2.066641567
