,principal_component1,principal_component2
1653675525,-0.8471666565958116,-0.05810105285660184
1653675525,-0.8471666565958116,-0.05810105285660184
1653675525,-0.8471666565958116,-0.05810105285660184
1653675525,-0.8471666565958116,-0.05810105285660184
1653675526,-0.8471666565958116,-0.05810105285660184
1653675526,-0.8471666565958116,-0.05810105285660184
1653675526,-0.8471666565958116,-0.05810105285660184
1653675526,-0.8463622108760523,-0.05607314867533122
1653675527,-0.8463622108760523,-0.05607314867533122
1653675527,-0.8463622108760523,-0.05607314867533122
1653675527,-0.8471666565958116,-0.05810105285660184
1653675527,-0.8471666565958116,-0.05810105285660184
1653675528,-0.8471666565958116,-0.05810105285660184
1653675528,-0.8471666565958116,-0.05810105285660184
1653675528,-0.8471666565958116,-0.05810105285660184
1653675528,-0.8471666565958116,-0.05810105285660184
1653675528,-0.8471666565958116,-0.05810105285660184
1653675529,-0.8471666565958116,-0.05810105285660184
1653675529,-0.8471666565958116,-0.05810105285660184
1653675529,-0.8471666565958116,-0.05810105285660184
1653675529,-0.8471666565958116,-0.05810105285660184
1653675530,-0.8471666565958116,-0.05810105285660184
1653675530,-0.8471666565958116,-0.05810105285660184
1653675530,-0.8471666565958116,-0.05810105285660184
1653675530,-0.8471666565958116,-0.05810105285660184
1653675531,-0.8471666565958116,-0.05810105285660184
1653675531,-0.8471666565958116,-0.05810105285660184
1653675531,-0.8471666565958116,-0.05810105285660184
1653675531,-0.8463622108760523,-0.05607314867533122
1653675532,-0.8463622108760523,-0.05607314867533122
1653675532,-0.8463622108760523,-0.05607314867533122
1653675532,-0.8463622108760523,-0.05607314867533122
1653675532,-0.8463622108760523,-0.05607314867533122
1653675533,-0.8471666565958116,-0.05810105285660184
1653675533,-0.8471666565958116,-0.05810105285660184
1653675533,-0.8471666565958116,-0.05810105285660184
1653675533,-0.8471666565958116,-0.05810105285660184
1653675533,-0.8471666565958116,-0.05810105285660184
1653675534,-0.8471666565958116,-0.05810105285660184
1653675534,-0.8471666565958116,-0.05810105285660184
1653675534,-0.8463622108760523,-0.05607314867533122
1653675534,-0.8471666565958116,-0.05810105285660184
